stat_name,value,description
system.cpus0.issuedInstType_0::FloatCvt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatMult,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatDiv,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatMisc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatSqrt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdAdd,414,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdAddAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdAlu,142700,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdCmp,29,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdCvt,1868,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdMisc,79434,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdMult,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdMatMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdShift,1111,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdShiftAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdDiv,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdSqrt,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatAdd,4410521,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatAlu,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatCmp,70209,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatCvt,108027,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatDiv,17,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatMisc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatMult,1163572,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatMatMultAcc,0,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::SimdFloatSqrt,4,"Number of instructions issued per FU type, per thread (Count)"
