
---------- Begin Simulation Statistics ----------
system.cpus0.issuedInstType_0::SimdCvt           1787      0.00%     67.92% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdMisc        103845      0.03%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdMult             0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdMultAcc            0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdMatMultAcc            0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdShift         1188      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdShiftAcc            0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdDiv              0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSqrt             0      0.00%     67.96% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatAdd     17798941      5.90%     73.86% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatAlu            0      0.00%     73.86% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatCmp            0      0.00%     73.86% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatCvt        55314      0.02%     73.87% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatDiv          850      0.00%     73.87% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatMisc            0      0.00%     73.87% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatMult     17835690      5.91%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatSqrt           39      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
